paper,year,venue,publication_status,evidence_cutoff,problem,personalization_method,memory_type,dynamic_preferences,domain_conditioning,cross_model,evaluation,datasets,major_findings,limitations,relation_to_our_work,url_or_doi
"Comparison-based Active Preference Learning for Multi-dimensional Personalization (AMPLe)",2025,"ACL","peer reviewed","2026-09-12","sample-efficient multidimensional preference elicitation","actively select pairwise comparisons and infer preference vector","learned preference vector","Yes","Partial","Partial","preference recovery and personalized generation","paper-constructed comparison tasks","active comparison choice reduces preference-learning burden","elicitation burden remains; learned vector has limited end-user transparency","prior art for active learning; motivates asking only when expected value is high","https://doi.org/10.18653/v1/2025.acl-long.1590"
"PersonalLLM",2025,"ICLR","peer reviewed","2026-09-12","adapt to heterogeneous individual reward preferences with sparse feedback","in-context and meta-learning over simulated users","reward-model-derived latent user type","Yes","Partial","Partial","ranking/reward utility across personalized prompts","PersonalLLM","benchmark exposes continual data sparsity and heterogeneous latent preferences","users are simulated from reward models; limited end-user governance","benchmark/baseline for sparse feedback, not a profile specification","https://proceedings.iclr.cc/paper_files/paper/2025/hash/a730abbcd6cf4a371ca9545db5922442-Abstract-Conference.html"
"Do LLMs Recognize Your Preferences? (PrefEval)",2025,"ICLR","peer reviewed","2026-09-12","preference inference, memory, and following in long conversations","prompting, iterative feedback, RAG, and fine-tuning baselines","preference evidence embedded in dialogue","Partial","Yes","Yes","generation and classification preference accuracy up to 100k-token context","PrefEval: 3000 preference-query pairs, 20 topics","most zero-shot models fall below 10% preference following around ten turns; prompting/RAG also degrade with length","manually curated preference placements rather than naturally evolving user-owned profiles","primary benchmark for long-context preference adherence","https://proceedings.iclr.cc/paper_files/paper/2025/hash/28a46044775d97a4efcbcf14e7f13209-Abstract-Conference.html"
"PersonaLens",2025,"Findings of ACL","peer reviewed","2026-09-12","evaluate multiple personalization capabilities in conversational assistants","profile-conditioned assistant evaluation","conversation/profile context","Partial","Yes","Yes","multi-capability conversational benchmark","PersonaLens","finds substantial gaps across personalization capabilities","evaluation contribution; not a portable profile implementation","candidate benchmark and capability taxonomy","https://doi.org/10.18653/v1/2025.findings-acl.927"
"Aligning LLMs with Individual Preferences via Interaction",2025,"COLING","peer reviewed","2026-09-12","learn individual alignment through dialogue","interactive preference acquisition and adaptation","interaction-derived user preference","Yes","Partial","Partial","individual preference alignment evaluation","paper-specific interactive tasks","interaction can improve individual alignment","limited transparent lifecycle and provider-neutral transfer","direct prior art for correction-driven learning loop","https://aclanthology.org/2025.coling-main.511/"
"Personalized LLM Assistant with Evolving Conditional Memory",2025,"COLING","peer reviewed","2026-09-12","continue dialogue, learn personal knowledge, and learn from feedback","conditional memory updated from interaction","evolving conversational/personal memory","Yes","Partial","Partial","continuation, personalized knowledge, and user-feedback tasks","paper-introduced benchmark","evolving conditional memory improves personalized assistant behavior","not an interoperable user-controlled preference schema","direct dynamic-memory baseline; narrows novelty of online updates","https://aclanthology.org/2025.coling-main.254/"
"Personalized QA with User Profile Generation and Compression",2025,"Findings of EMNLP","peer reviewed","2026-09-12","build efficient profiles for personalized QA","dynamically generate global/domain profiles and compress domain profile to keywords","global and domain profile summaries","Yes","Yes","Yes","personalized QA quality and efficiency","personalized QA datasets used in paper","dynamic domain profiles and compression improve personalized QA in evaluated settings","limited preference governance and cross-provider equivalence evaluation","closest prior art to global/domain profile plus compression; must be a principal baseline","https://doi.org/10.18653/v1/2025.findings-emnlp.255"
"PRIME",2025,"EMNLP","peer reviewed","2026-09-12","model evolving beliefs and personalized reasoning","dual episodic/semantic memory plus personalized thought process","episodic and semantic memory","Yes","Partial","Partial","personalization benchmarks and ablations","paper-selected personalization datasets","dual memory and personalized reasoning improve performance","user control and cross-provider behavior are not central","architectural baseline for episodic versus semantic/profile memory","https://doi.org/10.18653/v1/2025.emnlp-main.1711"
"Drift",2025,"Findings of EMNLP","peer reviewed","2026-09-12","infer and apply implicit alignment attributes at decoding time","few-shot attribute inference and training-free decoding control","predefined interpretable attributes","Partial","Partial","No","personalized generation and alignment metrics","paper-specific tasks","interpretable attributes can steer personalized decoding without training","requires decoding access and fixed attribute space","direct prior art for interpretable dimensions; incompatible with black-box portability","https://doi.org/10.18653/v1/2025.findings-emnlp.324"
"CoPe",2025,"EMNLP","peer reviewed","2026-09-12","personalize decoding by contrasting personal and general preferences","contrastive preference decoding","decoding-time preference signal","Partial","Partial","No","personalized text generation metrics","paper-specific benchmarks","contrastive decoding improves personal alignment","model-decoding coupling and limited user control","model-internal comparator for effectiveness ceiling","https://doi.org/10.18653/v1/2025.emnlp-main.1723"
"PrefPalette",2025,"COLM","peer reviewed; spotlight","2026-09-12","model individual preferences through shared latent structure","latent attribute preference modeling","latent attributes","Partial","Partial","Partial","personalized preference prediction","paper-specific preference datasets","latent attributes support personalized preference modeling","latent factors are less inspectable than a typed policy","closest latent representation comparator","https://openreview.net/forum?id=p4ujQsKmPV"
"Know Me, Respond to Me (PersonaMem)",2025,"COLM","peer reviewed","2026-09-12","dynamic user profiling from long multi-session histories","prompting, retrieval, and memory optimization over simulated histories","evolving implicit persona/history","Yes","Yes","Yes","in-situ response selection across seven query types","PersonaMem: over 180 histories, up to 60 sessions, 15 tasks","frontier models achieve only about 50% overall accuracy in reported evaluation","synthetic histories and response-selection focus; not a governance system","central longitudinal benchmark and evidence that long history alone is insufficient","https://openreview.net/forum?id=6ox8XZGOqP"
"PersonaMem-v2",2025,"arXiv","preprint; peer review not established at cutoff","2026-09-12","infer implicit personas efficiently over long histories","agentic memory compresses conversation history","compressed agentic profile memory","Yes","Yes","Yes","preference-response selection with memory/token comparisons","PersonaMem-v2","authors report competitive accuracy with a much smaller memory than full history","preprint; synthetic histories; results not independently reproduced","candidate compression baseline, not evidence that compression universally wins","https://arxiv.org/abs/2512.06688"
"Learning to Summarize User Information for Personalized RLHF (PLUS)",2026,"ICLR","peer reviewed","2026-09-12","learn interpretable user representations for personalized reward prediction","jointly train natural-language user summarizer and personalized reward model","natural-language user summary","Yes","Yes","Partial","reward-model accuracy, new-user/topic generalization, and generation preference","preference/context datasets described in paper","authors report 11–77% reward-accuracy gains and strong new-user/topic transfer; summaries enable transparency","summary semantics are untyped; cross-provider conditioning evidence is limited","closest prior art for interpretable learned summaries and a required baseline","https://proceedings.iclr.cc/paper_files/paper/2026/hash/c7af751b5e0a407c62ac023e3cb381f9-Abstract-Conference.html"
"PrefDisco",2026,"ICLR","peer reviewed","2026-09-12","proactive personalized reasoning under cold start and context-dependent preferences","strategic questioning and preference-aware reasoning","sparse psychology-grounded preference values","Yes","Yes","Yes","PrefAlign rubric across 21 models and 10 tasks","PrefDisco","29% of naive personalization attempts are reported worse than generic responses","constructed personas; no persistent preference lifecycle implementation","key evidence for clarification, abstention, and over-personalization controls","https://proceedings.iclr.cc/paper_files/paper/2026/hash/82d50077a0e140b524a18f380c95d55a-Abstract-Conference.html"
"Towards Proactive Personalization through Profile Customization (PersonalAgent)",2026,"Findings of ACL","peer reviewed","2026-09-12","lifelong proactive personalization","infer and continually refine a unified customizable profile","unified evolving profile","Yes","Partial","Partial","dialogue personalization evaluation","paper-specific dialogue data","continual profile refinement improves proactive personalization","portable governance, calibrated evidence, and formal scope inheritance remain open","closest unified-profile prior art; rules out novelty of continual profile refinement alone","https://doi.org/10.18653/v1/2026.findings-acl.159"
"From 1,000,000 Users to Every User (AlignX)",2026,"ACL","peer reviewed","2026-09-12","scale user-level preference alignment","large-scale alignment training over user preference space","learned user/preference representation","Partial","Partial","No","alignment metrics at user scale","approximately 1.3M preference examples reported by paper","large-scale data improves user-level alignment","training-centric, opaque, and not a portable per-user layer","scale comparator; shows preference-space modeling is established","https://doi.org/10.18653/v1/2026.acl-long.1391"
"Optimizing User Profiles via Contextual Bandits (PURPLE)",2026,"ACL","peer reviewed","2026-09-12","select profile evidence for retrieval-augmented personalization","contextual bandit optimizes downstream utility of profile selection","retrievable profile items plus selection policy","Yes","Yes","Yes","personalization utility and retrieval efficiency","paper-selected personalization datasets","utility-aware selection outperforms purely relevance-oriented alternatives in evaluated settings","governance/calibration not the main contribution","closest selector baseline; requires comparison to semantic retrieval","https://doi.org/10.18653/v1/2026.acl-long.1467"
"Beyond Static Profiles (S2Pref)",2026,"Findings of ACL","peer reviewed","2026-09-12","capture stable versus situational preferences and conflicts","infer preferences and clarify conflicts across scenarios","stable and situational preference records","Yes","Yes","Yes","preference inference, conflict, clarification, and response evaluation","S2Pref: 10000 examples","situational fluidity and conflict handling are necessary for personalization","benchmark/system does not supply a complete cross-provider user-owned lifecycle","closest contextual-preference work; prevents claiming context conditioning as novel","https://doi.org/10.18653/v1/2026.findings-acl.1033"
"CoPA",2026,"Findings of ACL","peer reviewed","2026-09-12","personalized QA using cognitive user factors","condition QA on data-informed cognitive factors","structured profile factors","Partial","Yes","Yes","multi-domain personalized QA","CoPA: 1985 profiles across StackExchange domains and six cognitive factors","cognitive-factor profiles support multi-domain personalization evaluation","factors are dataset-informed and not a complete response-policy schema","candidate domain/expertise evaluation and structured-factor comparator","https://doi.org/10.18653/v1/2026.findings-acl.737"
"BenchPreS",2026,"arXiv","preprint; no official proceedings publication verified at cutoff","2026-09-12","decide when persistent preferences should be suppressed","evaluate context-aware preference selectivity","stored preferences with applicability context","Yes","Yes","Yes","selectivity/suppression across social and institutional contexts","BenchPreS","reports persistent-memory models struggle to apply preferences selectively","preprint; acceptance claims outside official proceedings were not treated as evidence","candidate negative-control benchmark for inappropriate personalization","https://arxiv.org/abs/2603.16557"
"How Does Personalized Memory Shape LLM Behavior? (RPEval/RP-Reasoner)",2026,"arXiv","preprint; peer review not established at cutoff","2026-09-12","avoid interference from irrelevant personalized memory","selectively reason over relevant preferences","preference set plus applicability reasoning","Yes","Yes","Yes","rational task solving under relevant and irrelevant preferences","RPEval","reports that irrelevant preferences can distort task behavior and selective reasoning helps","preprint and constructed evaluation settings","direct benchmark for over-personalization and task-quality preservation","https://arxiv.org/abs/2601.16621"
"Towards Natural Personalization (RealPref)",2026,"arXiv","preprint; peer review not established at cutoff","2026-09-12","long-horizon preference following from varied expression forms","retrieve/infer preferences over extended interaction","longitudinal profile records","Yes","Yes","Yes","preference following over long horizons","RealPref: 100 profiles and 1300 preferences","broad expression forms expose failures in natural longitudinal personalization","synthetic and partly LLM-judged; preprint","candidate robustness benchmark; human validation still needed","https://arxiv.org/abs/2603.04191"
"LUNAR",2026,"arXiv","preprint; peer review not established at cutoff","2026-09-12","personalize from universal cross-domain behavior logs","compare direct log retrieval and compressed memory","behavior logs or compressed profile memory","Yes","Yes","Yes","cross-domain personalization and privacy/efficiency comparisons","LUNAR domains include clothing, food, housing, and mobility","reports direct retrieval can outperform compressed memory in evaluated settings","very recent preprint; result needs reproduction and may be task-dependent","important counterevidence: profile compression must remain a falsifiable hypothesis","https://arxiv.org/abs/2608.05246"
